Year,Country,Region,Ecosystem type,Units,Unit measure,Unit multiplier,GeoCode,Value
2015,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,96.311665114658
2019,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,367266.0
2019,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,353720.0
2019,England,Yorkshire and The Humber,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,96.311665114658
1999,Northern Ireland,,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),N92000002,121969.0
1999,Northern Ireland,,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),N92000002,90219.0
1999,Northern Ireland,,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),N92000002,73.968795349638
2003,Northern Ireland,,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),N92000002,121969.0
2003,Northern Ireland,,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),N92000002,90679.0
2003,Northern Ireland,,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),N92000002,74.3459403618952
2007,Northern Ireland,,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),N92000002,121969.0
2007,Northern Ireland,,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),N92000002,99710.0
2007,Northern Ireland,,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),N92000002,81.750280809058
2011,Northern Ireland,,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),N92000002,121969.0
2011,Northern Ireland,,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),N92000002,99837.0
2011,Northern Ireland,,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),N92000002,81.8544056276595
2015,Northern Ireland,,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),N92000002,121969.0
